date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:10	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-15d84%22	https://tenup.io/libs/OwlCarousel/dist/owl.carousel.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/OwlCarousel/dist/owl.carousel.js	(from https://tenup.io/)
21:01:11	5263/5263	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-148f%22	https://tenup.io/js/scripts.js	D:/Website%20Themes/TenUp.io/tenup.io/js/scripts.js	(from https://tenup.io/)
21:01:11	43014/43014	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-a806%22	https://tenup.io/js/particles.js	D:/Website%20Themes/TenUp.io/tenup.io/js/particles.js	(from https://tenup.io/)
21:01:11	2820/2820	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-b04%22	https://tenup.io/js/app.js	D:/Website%20Themes/TenUp.io/tenup.io/js/app.js	(from https://tenup.io/)
21:01:13	174604/174604	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263723ba8-2aa0c%22	https://momentjs.com/downloads/moment.js	D:/Website%20Themes/TenUp.io/momentjs.com/downloads/moment.js	(from https://tenup.io/)
21:01:15	32618/32618	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-7f6a%22	https://cdnjs.cloudflare.com/ajax/libs/moment-timezone/0.5.14/moment-timezone-with-data-2012-2022.min.js	D:/Website%20Themes/TenUp.io/cdnjs.cloudflare.com/ajax/libs/moment-timezone/0.5.14/moment-timezone-with-data-2012-2022.min.js	(from https://tenup.io/)
21:01:16	55044/55044	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e5e-d704%22	https://cdnjs.cloudflare.com/ajax/libs/flipclock/0.7.8/flipclock.js	D:/Website%20Themes/TenUp.io/cdnjs.cloudflare.com/ajax/libs/flipclock/0.7.8/flipclock.js	(from https://tenup.io/)
21:01:17	6437/6437	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-1925%22	https://tenup.io/js/member.js	D:/Website%20Themes/TenUp.io/tenup.io/js/member.js	(from https://tenup.io/)
21:01:17	1353/1353	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-549%22	https://tenup.io/js/typwriter.js	D:/Website%20Themes/TenUp.io/tenup.io/js/typwriter.js	(from https://tenup.io/)
21:01:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2016:01:18%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	D:/Website%20Themes/TenUp.io/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.55.delayed	(from https://tenup.io/)
